frn_adminid,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
241,4,4,1,6,1,3,7,6,6,3
144,2,7,3,7,1,5,7,1,2,1
46,5,1,1,6,1,4,7,2,2,7
162,4,2,1,5,1,4,2,7,1,5
209,4,4,4,7,1,4,7,4,3,1
258,3,6,4,4,4,3,4,1,6,5
5,5,3,1,5,4,4,4,5,2,3
59,2,3,1,5,2,1,1,7,2,1
245,2,6,1,7,1,7,7,5,2,1
161,1,4,4,6,7,2,3,3,7,1
87,2,5,1,6,2,2,7,2,7,7
105,7,2,1,6,7,2,7,1,1,1
296,6,7,2,5,5,3,6,2,2,1
58,3,5,5,5,7,5,7,7,2,2
146,7,2,1,4,1,3,4,2,1,7
219,1,4,3,6,5,4,4,1,2,1
299,4,1,1,5,4,2,2,1,3,1
282,7,1,1,6,7,7,7,2,4,5
223,7,4,1,6,3,7,7,4,5,6
211,6,4,2,6,5,5,7,4,4,1
210,6,3,3,5,4,2,6,5,7,1
320,3,6,7,7,3,4,7,7,6,1
222,2,5,1,6,1,1,3,1,1,5
233,1,5,1,3,4,3,2,1,3,6
109,7,6,5,7,1,6,5,7,1,6
4,3,7,1,6,7,4,7,1,1,7
284,7,4,1,6,7,6,6,6,2,7
117,7,7,2,6,4,6,7,6,6,4
57,7,6,1,6,5,4,7,6,3,5
32,7,4,1,5,4,6,7,7,7,6
301,4,4,3,5,4,4,7,5,4,6
215,2,6,1,4,6,1,7,1,3,1
206,2,6,1,6,1,6,7,3,1,7
261,2,2,3,3,1,2,1,1,3,6
199,7,5,5,6,2,7,7,7,5,3
107,7,1,1,5,1,2,3,7,1,5
195,7,4,1,6,4,5,6,5,3,6
281,3,5,2,6,6,7,7,6,3,6
329,2,3,3,6,1,4,7,3,5,4
333,7,5,1,7,1,7,7,4,1,1
341,2,5,1,6,4,6,7,4,2,4
256,7,4,1,5,2,5,1,4,1,7
251,6,1,4,5,7,7,6,2,5,6
231,5,5,2,6,7,5,7,3,6,4
76,7,1,1,6,6,4,7,7,3,2
277,3,3,5,6,7,5,7,1,4,4
273,7,4,1,6,7,2,7,1,3,1
259,1,6,2,5,7,5,6,1,5,4
39,7,6,1,4,5,6,7,7,1,6
31,5,5,4,5,4,3,5,2,6,2
325,7,6,5,6,7,5,7,1,3,4
330,2,4,4,5,7,7,7,2,6,1
279,5,3,2,6,5,6,7,7,6,4
248,1,2,4,6,7,4,7,4,7,1
303,4,5,2,4,6,4,7,3,5,6
286,7,3,4,6,6,2,4,1,7,5
278,6,4,2,5,7,3,4,2,2,2
96,4,5,1,4,7,3,7,4,1,7
67,5,5,3,6,4,5,4,7,6,5
285,7,1,1,6,1,7,7,6,1,1
122,7,5,4,6,5,7,7,4,3,7
275,7,4,2,4,5,3,4,7,6,5
300,1,4,1,4,1,3,3,4,5,6
137,6,3,1,5,7,6,5,3,3,4
302,1,5,3,6,5,3,7,1,1,7
155,7,2,1,6,1,7,7,7,2,6
236,2,5,1,6,6,3,1,4,7,1
79,7,5,7,7,4,6,7,7,3,7
106,1,1,3,7,5,4,4,1,4,5
154,5,4,1,7,5,7,7,2,2,1
264,3,2,4,4,7,4,4,2,4,7
294,2,7,1,6,4,5,7,7,5,7
216,7,4,1,6,5,6,3,7,3,7
321,2,5,3,6,1,2,5,1,3,1
254,7,2,4,6,1,4,4,7,5,3
150,3,3,1,5,6,3,7,6,6,4
324,3,7,2,5,2,4,7,3,2,2
262,7,1,7,7,7,7,7,6,1,3
287,7,5,6,6,7,6,7,7,7,4
276,7,4,1,5,2,4,6,7,4,1
335,4,3,2,6,7,6,7,1,5,4
112,2,4,1,3,7,3,7,4,6,1
21,7,6,1,5,7,6,7,7,7,1
1,7,6,4,7,7,6,4,2,7,4
214,6,7,2,4,1,2,7,1,2,1
197,7,4,4,5,7,7,6,5,4,1
323,1,5,1,6,7,6,7,4,5,1
253,1,7,6,5,4,4,6,3,6,4
85,7,6,1,7,1,2,7,7,5,2
153,2,1,1,5,1,2,2,1,3,1
139,6,1,1,5,1,6,7,6,2,6
246,7,4,1,5,2,3,5,5,3,4
156,3,4,4,6,1,7,7,1,2,3
237,7,4,2,6,2,7,4,7,6,6
274,1,4,4,6,4,4,7,4,6,1
308,7,4,4,6,6,7,4,5,2,4
200,7,6,3,5,7,7,6,2,2,3
